Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Inscripción de compra-venta a plazos con reserva de dominio. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.4412125562063567
Inscripción de cualquier clase de testamento. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de cualquier otro título registrable conforme a la Ley. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de disolución de la sociedad conyugal en lo referente a bienes inmuebles. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,Nivel 3.5,1.0,0,-0.1712173811258771
Inscripción de división de copropiedad. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,6.0,1.0,Nivel 3.5,1.0,0,0.18165616453906003
Inscripción de documentos de valor determinado referente a sociedades de producción rural. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
"Inscripción de emisión de obligaciones, acciones, cédula y certificado de participación.. (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de fusión de sociedades. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de informaciones posesorías. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,4.0,1.0,Nivel 3.5,1.0,0,0.18165616453906003
Inscripción de la autorización para vender o gravar bienes de menores o incapaces. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de la cancelación de créditos otorgados por Instituciones de crédito. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de la modificación al Acta Constitutiva que no implique aumento de capital. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de limitaciones o gravámenes a la propiedad de inmuebles. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de operaciones que limiten o graven bienes muebles. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de poderes. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de providencias precautorias de carácter mercantil. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de resoluciones de información Ad'perpetuam. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,5.0,1.0,Nivel 3.5,1.0,0,0.18165616453906003
Inscripción de revocación o renuncia de poderes. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de suspensión de pagos o declaración de concursos. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.35786617626972156
Inscripción de todas las operaciones que impliquen transmisión de propiedad. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,6.0,1.0,,1.0,1,0.5926915407142938
Inscripción del auto de ejecución de embargo. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,,1.0,1,0.35786617626972156
Inscripción por asociación en participación. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,,1.0,1,0.35786617626972156
Inscripción por Repudio de Herencia. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.35786617626972156
Registro de Perito,Secretaría de Educación Pública,Secretaría de Educación Pública,4320.0,5.0,2.0,Nivel 2,1.0,3,0.9197133321621405
Atención a Personas que Acuden a Realizar Donación de Sangre,Secretaría de Salud,Secretaría de Salud,180.0,4.0,0.0,Nivel 1,0.0,2,-0.01385937214081947
"Por la supervisión y emisión de opiniones técnicas diversas relacionadas con Gas L.P., estaciones de carburación, bodega y derivados del Petróleo",Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.21732142494413945
"Solicitud de Licencia Sanitaria para Farmacias, o Boticas con Venta de Medicamentos Controlados",Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,1,0.37982317478831235
Autorización de Campañas o Jornadas Médicas para Prestación de Servicios de Salud.,Secretaría de Salud,Secretaría de Salud,21600.0,2.0,3.0,Nivel 1,0.0,3,0.7441191053159804
Autenticación y Registro de Certificados de Estudios de nivel licenciatura y posgrado,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,13.0,1.0,Nivel 1,1.0,1,1.1126712516506179
Solicitud de Visita de Verificación de Medicamentos que Sean o Contengan Estupefacientes Modalidad A. Destrucción.,Secretaría de Salud,Secretaría de Salud,43200.0,3.0,0.0,Nivel 1,1.0,1,0.33536960616450434
Reinscripción nivel licenciatura UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,1.0,Nivel 2,1.0,1,-0.2852793696991206
Exámen de Ingreso a nivel licenciatura UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,1440.0,2.0,1.0,,1.0,1,0.1598327212032866
Levantamiento Topográficos de Predios (Catastral),Secretaría de Hacienda,Instituto Catastral,5760.0,3.0,1.0,Nivel 1,1.0,1,0.24446677587561855
Prorroga de Trámite Modalidad Autorización de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,9.0,1.0,Nivel 1,1.0,1,0.3867419981037953
Cancelación de Derecho de Tanto,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,2.0,1.0,,1.0,1,-0.04979250957154606
Proyecto de Lotificación,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,,1.0,1,-0.04979250957154606
Cambio de Nombre en la Tarjeta de Circulación por Conclusión de la Transferencia de los Derechos de la Concesión de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,1440.0,2.0,1.0,Nivel 2,0.0,2,-0.39340210221405114
Asignación o Cambio de Cromática y Asignación de Clave Mnemotécnica,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,3.0,1.0,Nivel 2,1.0,1,-0.16723118847875562
Transferencia por Designación de Persona Beneficiaria de la Concesión del Servicio Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,11.0,1.0,,1.0,1,0.8041031011125883
Copias certificadas de pagos de Control Vehicular,Secretaría de Hacienda,Secretaría de Hacienda,28800.0,1.0,1.0,,1.0,1,0.25826745881683877
Inscripción de actos cuando se presenten en documentos separados. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.35786617626972156
Constancia de estudios UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.6260360344294573
Centro Asistencial La Casita,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Pago de Créditos Fiscales derivado de multas estatales no fiscales,Secretaría de Hacienda,Secretaría de Hacienda,15.0,1.0,1.0,,0.0,2,-0.6339023092838397
Orientación en materia fiscal,Secretaría de Hacienda,Secretaría de Hacienda,129600.0,1.0,1.0,,0.0,2,0.048001877665101576
Reposición por Robo o Extravìo del Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,4.0,1.0,Nivel 1,1.0,1,0.33593874619425396
Credencial Institucional (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,7200.0,2.0,0.0,,1.0,1,0.3092649233978358
Reposición de Credencial UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,1,-0.2935094267213731
Trámite para titulación UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,5760.0,5.0,0.0,,1.0,1,0.5297814227515429
Constancia de terminación de estadía UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,4320.0,11.0,3.0,Nivel 2,0.0,3,1.4661688202843188
Designación de Persona Beneficiaria de la Concesión del Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,1,-0.04979250957154606
Inscripción a la UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,90.0,5.0,0.0,Nivel 1,1.0,1,0.1871476015686145
Reinscripción a la UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,75.0,2.0,1.0,Nivel 1,1.0,1,-0.05099991989988084
Expedición de Tarifario,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,Nivel 2,1.0,1,-0.16723118847875562
Por informe de aviso de testamento,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,1,0.04178453998292173
Trámite de pista para aterrizaje,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,10.0,0.0,0.0,Nivel 1,1.0,1,-0.28908615613886196
Trámite de pernocta,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,10.0,4.0,1.0,Nivel 1,1.0,1,0.0720174465483276
Casa de la mujer indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,2.0,1.0,,0.0,2,-0.27596342330684154
INSCRIPCIÓN O ANOTACIÓN QUE NO MODIFICA EL DERECHO INSCRITO. (REGISTRO PÚBLICO DE LA PROPIEDAD Y DEL COMERCIO),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.35786617626972156
"Expedición de Copias Certificadas en Libros (del año 2015 y Años Anteriores), e Impresión de Folios a partir del año 2015 (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,7200.0,1.0,2.0,Nivel 3.5,1.0,3,0.30599844964173745
Visita al museo de documentos históricos,Oficialía Mayor,Oficialía Mayor,60.0,0.0,0.0,Nivel 1,0.0,2,-0.6271747733465245
Inscripción de fusión de predios. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de inmatriculación. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.4412125562063567
Inscripción del régimen de propiedad en condominio. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,4.0,1.0,,1.0,1,0.5926915407142938
Atención a Solicitudes de Componentes de la Sangre para la Atención de Pacientes,Secretaría de Salud,Secretaría de Salud,90.0,3.0,1.0,Nivel 1,1.0,1,-0.03944770585370516
Levantamiento Topográfico de poligonales (Catastral),Secretaría de Hacienda,Instituto Catastral,4320.0,4.0,1.0,Nivel 1,1.0,1,0.46084564499849756
